orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,A. Pre-primary and Primary School Census Form - Actual reports,A. Pre-primary and Primary School Census Form - Expected reports,datasetuid,datasets_name,A. Junior Secondary School Census Form - Actual reports,A. Junior Secondary School Census Form - Expected reports,A. Adult and Non Formal Education (IQS/IQTE) Census Form - Actual reports,A. Adult and Non Formal Education (IQS/IQTE) Census Form - Expected reports,A. Private School Census Form - Actual reports,A. Private School Census Form - Expected reports,A. Science and Technical Colleges/ Vocational Education Census Form - Actual reports,A. Science and Technical Colleges/ Vocational Education Census Form - Expected reports,A. Senior Secondary School Census Form - Actual reports,A. Senior Secondary School Census Form - Expected reports
fg Nigeria,kd Kaduna State,kd Igabi Local Government Area,Unknown Ward,PRY Adams Nursery And Primary School (1904401251),VqtFdda6wDK,PRY Adams Nursery And Primary School (1904401251),1904401251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jaba Local Government Area,kd Daddu Ward,PRY Adara International College Akilibu (KD12300254),ivQhePLYwBt,PRY Adara International College Akilibu (KD12300254),KD12300254,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Sabon Birnin Ward,PRY Adeneji Memorial School Madauchi (1922483251),b4F1TJkvf6T,PRY Adeneji Memorial School Madauchi (1922483251),1922483251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Kukum Ward,PRY Adventist Nursery And Primary School Mg (1917367251),V47GzqP0KIJ,PRY Adventist Nursery And Primary School Mg (1917367251),1917367251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Birnin Gwari Local Government Area,kd Damari Ward,PRY Ahbabuddi N Islam Nursery And School (1919117250),dnqeWllMZsq,PRY Ahbabuddi N Islam Nursery And School (1919117250),1919117250,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Igabi Local Government Area,kd Rigasa Ward,PRY Ahbabuh Nabiyyi (1904643123),DoRla5YJc4W,PRY Ahbabuh Nabiyyi (1904643123),1904643123,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Igabi Local Government Area,kd Rigasa Ward,PRY Ahbabuh Nabiyyi (KD12300304),oy3ihuAICqK,PRY Ahbabuh Nabiyyi (KD12300304),KD12300304,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Idasu Ward,PRY Ahsa International School Kirama (1904456251),Fzre8e6Qtv7,PRY Ahsa International School Kirama (1904456251),1904456251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Hayin Banki Ward,PRY Air Force Children School Kaduna Naf (1909001120),XmJhuL5UOip,PRY Air Force Children School Kaduna Naf (1909001120),1909001120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Mallagum Ward,PRY Al Ansar International Nur And Primary School (1918223251),urUl2i01fM6,PRY Al Ansar International Nur And Primary School (1918223251),1918223251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Chikun Local Government Area,kd Kuriga Ward,PRY Al-Ihsan Academy (1902878220),EpnVAkt05g1,PRY Al-Ihsan Academy (1902878220),1902878220,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,Unknown Ward,PRY Al-Iman Memoril Nusery And Primary School (1921359251),lp2DcF8nb12,PRY Al-Iman Memoril Nusery And Primary School (1921359251),1921359251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Birnin Gwari Local Government Area,kd Damari Ward,PRY Al-Mujahid Muslim School (1919141250),P0VnblVKA8V,PRY Al-Mujahid Muslim School (1919141250),1919141250,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,Unknown Ward,PRY Albaniy Science International Academy (1923355271),FBixrqfuZQy,PRY Albaniy Science International Academy (1923355271),1923355271,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Dandamisa Ward,PRY Alfirdausi Nursery And Primary School (1923171250),u8wyMv3u8PL,PRY Alfirdausi Nursery And Primary School (1923171250),1923171250,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,Unknown Ward,PRY Alfitrah Nursery And Primary School (1923167250),NrHPOFtNN7c,PRY Alfitrah Nursery And Primary School (1923167250),1923167250,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Kagarko South Ward,PRY Alh Bello Nps Janjala (1911243120),AOzORFTdLae,PRY Alh Bello Nps Janjala (1911243120),1911243120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,Unknown Ward,PRY Alhazawa Academy Nursery And Primary (1923191250),C8sT9G9hzCD,PRY Alhazawa Academy Nursery And Primary (1923191250),1923191250,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,Unknown Ward,PRY Alheri Academy (1912305251),K70j4AFcUvD,PRY Alheri Academy (1912305251),1912305251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Sabon Birnin Ward,PRY Alheri Quality Nursery And Primary School Zonkwa (1922431251),woAWyAjlzIZ,PRY Alheri Quality Nursery And Primary School Zonkwa (1922431251),1922431251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Sabon Sarki Ward,PRY Ali Yasir Institute (KD12300359),vdxfWNQbu09,PRY Ali Yasir Institute (KD12300359),KD12300359,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Kufana Ward,PRY All Saints Academy (KD12300296),oFIuVBbXTwY,PRY All Saints Academy (KD12300296),KD12300296,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Kufana Ward,PRY All Saints Academy (KD12300348),udVVYYWdxzm,PRY All Saints Academy (KD12300348),KD12300348,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Birnin Gwari Local Government Area,kd Magajin Gari 2 Ward,PRY All Star Academymr David Akhere (1902772220),u9iSJwBypqI,PRY All Star Academymr David Akhere (1902772220),1902772220,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Jagindi Tasha Ward,PRY Almajiri Boarding Primary School Jagindi Gari (1907345122),z0iqPmIgCsL,PRY Almajiri Boarding Primary School Jagindi Gari (1907345122),1907345122,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Dan-Alhaji Ward,PRY Almajiri Model (1917412121),lsaAf9vaNq9,PRY Almajiri Model (1917412121),1917412121,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kudan Local Government Area,kd Hunkuyi Ward,PRY Almajiri Model Boarding Primary School Hunkuyi (KD12300139),eHfKkHsnmXE,PRY Almajiri Model Boarding Primary School Hunkuyi (KD12300139),KD12300139,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kauru Local Government Area,kd Kauru West Ward,PRY Almajiri School Kauru Marbaki (1913232120),UGzswS2cPMV,PRY Almajiri School Kauru Marbaki (1913232120),1913232120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Sabon Sarki Ward,PRY Almedinat Nusery Primary (KD12300190),BEZzxiJNywX,PRY Almedinat Nusery Primary (KD12300190),KD12300190,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,kd Kwarbai A Ward,PRY Ambasador Lawal Sambo Primary School Kofan Kona (1923037120),dA5KlUdtcGI,PRY Ambasador Lawal Sambo Primary School Kofan Kona (1923037120),1923037120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Shaba Ward,PRY Amidau Victory Nursery And Primary (1911304251),ykosYdVEnsj,PRY Amidau Victory Nursery And Primary (1911304251),1911304251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Samaru Ward,PRY Amina Model Primary School (1919001120),J0PRUF8rrUH,PRY Amina Model Primary School (1919001120),1919001120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Muchia Ward,PRY Aminu Model Primary School Zaria (1919002120),jy5vtIVtoV4,PRY Aminu Model Primary School Zaria (1919002120),1919002120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Kachia Ward,PRY Amir Model School (1910536220),PHTrYzocNhp,PRY Amir Model School (1910536220),1910536220,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Bomo Ward,PRY Ang Biso Nps (1919173121),QX8fI5T4zK9,PRY Ang Biso Nps (1919173121),1919173121,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,Unknown Ward,PRY Ang Fulani Lgea Primary School (1919003120),LBmXMUpwatI,PRY Ang Fulani Lgea Primary School (1919003120),1919003120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,Unknown Ward,PRY Ang Kanawa Lgea Primary School (1919065120),NYPgiCI8uwS,PRY Ang Kanawa Lgea Primary School (1919065120),1919065120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Dogarawa Ward,PRY Ang Makera Nps (1919078120),aSdmhzLusIw,PRY Ang Makera Nps (1919078120),1919078120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,Kd Basawa Ward,PRY Ang Makeri Nps (1919081121),FbfvuMBgbBT,PRY Ang Makeri Nps (1919081121),1919081121,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Jushi Ward,PRY Ang Malam Sule LGEA Primary School (1919035120),Am0ats1el9B,PRY Ang Malam Sule LGEA Primary School (1919035120),1919035120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Dogarawa Ward,PRY Ang Nafara Nps (1919177123),Un14iqCF69D,PRY Ang Nafara Nps (1919177123),1919177123,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,Kd Basawa Ward,PRY Ang Rimi Lgea Primary School (1919160120),AuzceOgaJU5,PRY Ang Rimi Lgea Primary School (1919160120),1919160120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Bomo Ward,PRY Ang Sarkin Baka Nps (1919079120),TRhuBB2IKHl,PRY Ang Sarkin Baka Nps (1919079120),1919079120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Zabi Ward (Sabon Gari),PRY Ang Sarkin Kogi Model Primary School (1919004120),TMcvrOgprFN,PRY Ang Sarkin Kogi Model Primary School (1919004120),1919004120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,kd Zabi Ward (Sabon Gari),PRY Ang Wakili Nps (1919172123),FYQ3Yky0AFN,PRY Ang Wakili Nps (1919172123),1919172123,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,Unknown Ward,PRY Angl Nur/Pri Sch Jagindi (1907240251),BD3sGZbP31Q,PRY Angl Nur/Pri Sch Jagindi (1907240251),1907240251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,Unknown Ward,PRY Anglican Nursery Primary School Godogdo(2) (1907239251),scf3fPGWD0T,PRY Anglican Nursery Primary School Godogdo(2) (1907239251),1907239251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,Unknown Ward,PRY Anglican Nursery/Primary School (1908353201),Lzk6hhY7jA3,PRY Anglican Nursery/Primary School (1908353201),1908353201,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Kayarda Ward,PRY Anglican Nursery/Primary School (KD12300230),FqJXIPdrKVD,PRY Anglican Nursery/Primary School (KD12300230),KD12300230,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Kayarda Ward,PRY Anglican School The Good Shepherd Nursery Tsoriyang (1922411211),sAAsuJrnp7Q,PRY Anglican School The Good Shepherd Nursery Tsoriyang (1922411211),1922411211,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,kd Dutsen Abba Ward,PRY Anguwan Malam Sani Primary School (1923038120),B9caLMoNHJT,PRY Anguwan Malam Sani Primary School (1923038120),1923038120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Gimi Ward,PRY Apex International School (KD12300192),bKyiwHdUpB8,PRY Apex International School (KD12300192),KD12300192,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Gimi Ward,PRY Apex International School (KD12300334),RTU3zzZD95v,PRY Apex International School (KD12300334),KD12300334,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,Unknown Ward,PRY Ar-Rayyan Islamic Nursery And Primary Sch00Ls (1919015252),Fm2RdDW7V2f,PRY Ar-Rayyan Islamic Nursery And Primary Sch00Ls (1919015252),1919015252,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Kinkiba Ward,PRY Arabi School Damari (1921232123),sbJJEJ3sqpo,PRY Arabi School Damari (1921232123),1921232123,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Kwasalo Ward,PRY Arabic School Dinya (1921003120),ReELu7hV0gX,PRY Arabic School Dinya (1921003120),1921003120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Gimba Ward,PRY Arabic School Gimba Primary School (1921248122),R1Vlb0eg0qn,PRY Arabic School Gimba Primary School (1921248122),1921248122,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Soba Ward,PRY Arabic School Soba (1921004120),rskNJNer6Y6,PRY Arabic School Soba (1921004120),1921004120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Turawa Ward,PRY Arabic School Turawa (1921005120),gzCFrpT3Cu6,PRY Arabic School Turawa (1921005120),1921005120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Soba Ward,PRY Arabic School Unguwan Tudun Yalwa (1921342122),IVxhe6Io2wf,PRY Arabic School Unguwan Tudun Yalwa (1921342122),1921342122,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Richifa Ward,PRY Arabic School Ungwan Tudu Richifa (1921002120),tBK9NN3alVn,PRY Arabic School Ungwan Tudu Richifa (1921002120),1921002120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Maigana Ward,PRY Arabic School Yakasai (1921300120),hah2kH0MjPX,PRY Arabic School Yakasai (1921300120),1921300120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kudan Local Government Area,kd Zabi Ward (Kudan),PRY Arise Academic Nursery/Primary School (1922432251),SrhhBqN10JY,PRY Arise Academic Nursery/Primary School (1922432251),1922432251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Chikun Local Government Area,kd Gwagwada Ward,PRY Arm School Kufai Galadima (1902711151),s3yo7bLGJEn,PRY Arm School Kufai Galadima (1902711151),1902711151,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sabon Gari Local Government Area,Unknown Ward,PRY Army Children School (1919006120),Ssm3l6qdrAB,PRY Army Children School (1919006120),1919006120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Kachia Ward,PRY Army Children School Nasa Kachia (1908002120),UQmQFKwvWCP,PRY Army Children School Nasa Kachia (1908002120),1908002120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Hayin Banki Ward,PRY Army Children School New Cantoment C' Nda Kaduna (1909005120),lUv9SmRfxkv,PRY Army Children School New Cantoment C' Nda Kaduna (1909005120),1909005120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Hayin Banki Ward,PRY Army Children School New Cantonment 'D' (1909006120),bHTdNadTXxL,PRY Army Children School New Cantonment 'D' (1909006120),1909006120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Hayin Banki Ward,PRY Army Children School New Cantonment A (1909003120),ZyuLxsE7soK,PRY Army Children School New Cantonment A (1909003120),1909003120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Hayin Banki Ward,PRY Army Children School New Cantonment B (1909001420),fyxv7hu0D3f,PRY Army Children School New Cantonment B (1909001420),1909001420,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Kawo Ward,PRY Army Childrend School Dalet Barracks Kawo (1909002120),gzG46tcbGuN,PRY Army Childrend School Dalet Barracks Kawo (1909002120),1909002120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Afogo Ward,PRY Asas Badullahi Academy Nursery And Primary (1915674251),meiYvV2Zm9q,PRY Asas Badullahi Academy Nursery And Primary (1915674251),1915674251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,Unknown Ward,PRY Assiddeediq Islamic Comprehensive School (1909434250),LmLHa3pVWY1,PRY Assiddeediq Islamic Comprehensive School (1909434250),1909434250,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kubau Local Government Area,kd Anchau Ward,PRY August Nursery Primary School (1919109271),OVGenjRs8kD,PRY August Nursery Primary School (1919109271),1919109271,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna South Local Government Area,kd Tudun Nupawa Ward,PRY Avosko Leaders Academy Manchok (1912300251),mCR58qlcJoU,PRY Avosko Leaders Academy Manchok (1912300251),1912300251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Birnin Gwari Local Government Area,kd Tabanni Ward,PRY B-Cube Academy (1902752220),LdBhYQogzhd,PRY B-Cube Academy (1902752220),1902752220,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
